,Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References,Density,Cell#
4595,4595,7188,2007,5,14,8,47,33.0,29.24,51.98,10.7,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,20,1586
4596,4596,8155,2008,7,15,9,46,22.0,29.39,51.93,8.0,Zagros,5,,,3.8,,,3.8,3.8,IRSC,,,IRSC,,,Equation(7),,0.1486,,,20,1586
4597,4597,8427,2008,11,2,19,32,13.0,29.27,51.75,28.0,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,20,1586
4598,4598,8970,2009,7,12,17,5,6.0,29.14,51.95,5.0,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,20,1586
4599,4599,9858,2010,8,7,0,0,52.0,29.34,51.8,5.4,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,20,1586
4600,4600,10790,2011,10,28,5,19,34.0,29.3,51.79,11.5,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,20,1586
4601,4601,11557,2012,10,9,1,53,44.0,29.36,52.0,5.0,Zagros,5,,,3.6,,,3.6,3.6,IRSC,,,IRSC,,,Equation(7),,0.1489,,,20,1586
4602,4602,1880,1978,7,28,21,48,11.0,29.39,52.15,33.0,Zagros,5,4.1,3.4,,,,4.1,4.1,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,24,1587
4603,4603,2042,1979,12,24,19,54,45.0,29.15,52.12,15.0,Zagros,5,4.7,4.2,,,,4.8,4.8,ISC-EHB,ISC,M2014,,,,Equation(3),,0.174,,,24,1587
4604,4604,2190,1981,4,18,13,35,44.0,29.35,52.03,15.0,Zagros,5,4.2,3.7,,,,4.2,4.2,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1738,,,24,1587
4605,4605,2659,1985,8,19,12,47,50.0,29.2,52.33,33.0,Zagros,5,4.4,3.9,,,,4.5,4.5,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,24,1587
4606,4606,3419,1992,9,8,0,38,19.0,29.13,52.14,26.0,Zagros,5,5.2,4.8,,,,5.4,5.4,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1747,,,24,1587
4607,4607,3471,1993,2,11,17,56,58.0,29.15,52.2,33.0,Zagros,5,4.2,3.5,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,24,1587
4608,4608,3665,1995,1,21,3,2,28.0,29.15,52.03,15.0,Zagros,5,4.6,4.1,,,,4.7,4.7,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1739,,,24,1587
4609,4609,4526,2000,7,23,23,30,3.0,29.31,52.08,15.0,Zagros,5,4.3,3.7,3.6,,,4.3,4.3,ISC-EHB,ISC,M2014,IRSC,,,Equation(3),,0.1738,,,24,1587
4610,4610,4689,2001,1,30,7,8,56.0,29.38,52.12,48.0,Zagros,5,3.8,3.0,3.6,,,3.7,3.7,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1739,,,24,1587
4611,4611,5714,2004,3,30,13,31,53.0,29.37,52.1,6.0,Zagros,5,4.3,3.7,3.9,,,4.3,4.3,ISC,ISC,ISC,IRSC,,,Equation(3),,0.1738,,,24,1587
4612,4612,6107,2005,10,20,8,43,10.0,29.3,52.08,15.0,Zagros,5,4.0,3.3,3.5,3.8,,4.0,4.0,ISC-EHB,ISC,M2014,IRSC,IIEES,,Equation(3),,0.1738,,,24,1587
4613,4613,6379,2006,4,25,13,33,58.0,29.39,52.11,1.8,Zagros,5,,,3.6,3.7,,3.6,3.6,IRSC,,,IRSC,IIEES,,Equation(7),,0.1489,,,24,1587
4614,4614,6559,2006,7,30,13,18,52.0,29.29,52.07,5.0,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,24,1587
4615,4615,6583,2006,8,14,9,42,33.0,29.26,52.03,27.1,Zagros,5,,,3.3,3.7,,3.2,3.2,IRSC,,,IRSC,IIEES,,Equation(7),,0.1495,,,24,1587
4616,4616,7116,2007,4,17,12,20,39.0,29.27,52.2,3.1,Zagros,5,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,24,1587
4617,4617,7133,2007,4,23,12,12,5.0,29.3,52.12,0.9,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,,24,1587
4618,4618,8895,2009,6,9,19,32,28.0,29.27,52.32,2.2,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,24,1587
4619,4619,9109,2009,9,22,6,33,43.0,29.31,52.05,5.7,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,24,1587
4620,4620,10806,2011,11,7,15,18,41.0,29.37,52.07,5.0,Zagros,5,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,24,1587
4621,4621,11234,2012,5,7,2,10,23.0,29.37,52.04,6.0,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,,24,1587
4622,4622,13454,2014,12,26,19,51,46.0,29.38,52.03,5.0,Zagros,5,,,3.5,3.4,,3.4,3.4,IRSC,,,IRSC,IIEES,,Equation(7),,0.1491,,,24,1587
4623,4623,13778,2015,5,9,10,12,9.0,29.28,52.07,8.0,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,,24,1587
4624,4624,14249,2015,11,14,15,51,41.0,29.2,52.21,5.0,Zagros,5,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,24,1587
4625,4625,14673,2016,5,10,13,20,19.0,29.26,52.04,19.1,Zagros,5,4.5,3.5,4.2,,,4.2,4.2,IRSC,ISC,ISC,IRSC,,,Equation(7),,0.1482,,,24,1587
4626,4626,2005,1979,9,21,8,59,47.0,29.21,52.65,47.0,Zagros,5,4.4,3.8,,,,4.5,4.5,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,15,1588
4627,4627,2812,1987,3,28,22,12,3.0,29.39,52.5,19.0,Zagros,5,4.2,3.5,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,15,1588
4628,4628,2961,1988,7,6,2,10,58.0,29.31,52.44,15.0,Zagros,5,4.5,4.4,,,,4.6,4.6,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1739,,,15,1588
4629,4629,3577,1994,3,1,3,49,1.3,29.14,52.64,13.0,Zagros,5,5.8,6.0,,,6.0,,6.0,ISC-EHB,NEIC,NEIC,,,GCMT,,0.2,,,,15,1588
4630,4630,3786,1995,12,31,10,53,0.0,29.37,52.36,15.0,Zagros,5,4.2,3.5,,,,4.2,4.2,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1738,,,15,1588
4631,4631,3787,1995,12,31,11,56,42.0,29.33,52.36,15.0,Zagros,5,4.6,4.2,,,,4.7,4.7,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1739,,,15,1588
4632,4632,4429,2000,3,6,19,57,24.0,29.23,52.39,33.0,Zagros,5,4.1,3.4,3.3,,,4.1,4.1,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1738,,,15,1588
4633,4633,7628,2007,11,15,2,37,38.0,29.36,52.48,4.9,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,15,1588
4634,4634,10270,2011,2,13,11,56,13.0,29.16,52.63,5.0,Zagros,5,4.0,3.3,3.9,4.0,,3.9,3.9,IRSC,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1484,,,15,1588
4635,4635,11559,2012,10,10,16,56,33.0,29.27,52.48,14.9,Zagros,5,5.2,4.8,4.8,,4.9,,4.9,ISC-EHB,NEIC,NEIC,IRSC,,GCMT,,0.1,,,,15,1588
4636,4636,12319,2013,9,1,15,58,58.0,29.37,52.52,10.3,Zagros,5,4.4,,4.0,,,4.0,4.0,IRSC,ISC,,IRSC,,,Equation(7),,0.1483,,,15,1588
4637,4637,13245,2014,9,30,18,44,55.0,29.37,52.49,5.0,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,15,1588
4638,4638,13717,2015,4,15,5,48,44.0,29.38,52.59,10.7,Zagros,5,,,3.4,3.2,,3.3,3.3,IRSC,,,IRSC,IIEES,,Equation(7),,0.1493,,,15,1588
4639,4639,14168,2015,10,12,8,34,56.0,29.36,52.54,9.0,Zagros,5,,,3.1,3.1,,3.0,3.0,IRSC,,,IRSC,IIEES,,Equation(7),,0.15,,,15,1588
4640,4640,16424,2018,3,19,3,49,52.0,29.25,52.57,8.0,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,15,1588
4641,4641,2630,1985,4,25,4,58,45.0,29.36,52.76,23.0,Zagros,5,4.8,4.4,,,,4.9,4.9,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1741,,,10,1589
4642,4642,8653,2009,2,9,10,34,39.0,29.36,52.84,3.7,Zagros,5,3.6,3.0,3.8,3.8,,3.8,3.8,IRSC,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1486,,,10,1589
4643,4643,10633,2011,8,15,2,8,28.0,29.24,52.72,3.0,Zagros,5,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1589
4644,4644,12677,2014,2,6,1,35,14.0,29.25,52.82,8.0,Zagros,5,,3.4,4.1,4.2,,4.1,4.1,IRSC,,ISC      ,IRSC,IIEES,,Equation(7),,0.1482,,,10,1589
4645,4645,12678,2014,2,6,2,9,35.0,29.26,52.83,8.0,Zagros,5,,3.4,4.2,4.5,,4.2,4.2,IRSC,,ISC      ,IRSC,IIEES,,Equation(7),,0.1482,,,10,1589
4646,4646,13266,2014,10,6,1,48,19.0,29.35,52.87,8.7,Zagros,5,,,3.4,3.1,,3.3,3.3,IRSC,,,IRSC,IIEES,,Equation(7),,0.1493,,,10,1589
4647,4647,13642,2015,3,16,5,28,49.0,29.15,52.96,12.1,Zagros,5,,,3.1,3.0,,3.0,3.0,IRSC,,,IRSC,IIEES,,Equation(7),,0.15,,,10,1589
4648,4648,16603,2018,5,22,13,9,11.0,29.34,52.9,11.6,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,,10,1589
4649,4649,1049,1965,6,24,10,54,2.0,29.3,53.0,5.0,Zagros,5,4.6,4.1,,,,4.7,4.7,ISC,ISC,M2014,,,,Equation(3),,0.1739,,,10,1590
4650,4650,1770,1977,6,2,3,57,2.0,29.37,53.16,15.0,Zagros,5,4.7,4.2,,,5.1,,5.1,ISC-GEM,ISC,ISC,,,ISC-GEM,,0.2,,,,10,1590
4651,4651,2627,1985,4,20,14,47,35.0,29.26,53.25,43.0,Zagros,5,4.3,3.7,,,,4.3,4.3,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1590
4652,4652,4014,1997,7,21,0,54,38.0,29.37,53.18,42.0,Zagros,5,3.9,3.1,,,,3.9,3.9,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1590
4653,4653,8312,2008,9,22,6,47,54.0,29.22,53.21,9.5,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,,10,1590
4654,4654,9768,2010,6,28,20,36,29.0,29.34,53.07,3.3,Zagros,5,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1590
4655,4655,1765,1977,5,25,21,6,38.0,29.23,53.4,19.0,Zagros,5,4.8,4.4,,,5.2,,5.2,ISC-EHB,ISC,ISC,,,ISC-GEM,,0.28,,,,10,1591
4656,4656,1869,1978,6,27,20,14,17.0,29.23,53.3,33.0,Zagros,5,3.9,3.1,,,,3.9,3.9,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1591
4657,4657,15800,2017,8,4,9,17,57.0,29.21,53.29,11.3,Zagros,5,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1591
4658,4658,11703,2012,12,16,19,27,9.0,29.25,53.88,11.8,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,,10,1592
4659,4659,11863,2013,2,15,12,10,54.0,29.38,53.79,10.0,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,10,1592
4660,4660,15249,2017,1,7,13,16,32.0,29.37,53.67,8.0,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,,10,1592
4661,4661,4087,1997,12,22,19,13,20.0,29.17,54.2,,Zagros,5,4.0,3.3,,,,4.0,4.0,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1593
4662,4662,14310,2015,12,16,7,7,56.0,29.38,54.01,8.6,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,10,1593
4663,4663,973,1964,2,14,15,51,12.0,29.2,54.5,47.0,Zagros,5,4.7,4.2,,,,4.8,4.8,NEIC,NEIC,M2014,,,,Equation(3),,0.174,,,10,1594
4664,4664,7098,2007,4,11,21,12,18.0,29.2,54.28,5.4,Zagros,5,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1594
4665,4665,957,1963,9,22,10,40,55.0,29.3,55.3,33.0,Central East Iran,2,4.7,4.4,,,,4.8,4.8,NEIC,NEIC,M2014,,,,Equation(3),,0.174,,,10,1597
4666,4666,16372,2018,3,1,12,44,22.0,29.16,55.48,7.0,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1597
4667,4667,5288,2002,11,4,3,20,47.0,29.33,56.02,18.0,Central East Iran,2,,,3.8,,,4.3,4.3,IRSC,,,IRSC,,,Equation(6),,0.338,,,10,1599
4668,4668,11509,2012,9,15,19,5,21.0,29.25,55.92,10.0,Central East Iran,2,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,10,1599
4669,4669,8505,2008,12,5,10,39,52.0,29.21,56.37,13.0,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1600
4670,4670,1613,1975,8,16,22,22,36.0,29.32,56.68,,Central East Iran,2,4.1,3.5,,,,4.1,4.1,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1601
4671,4671,3062,1989,5,28,2,22,23.0,29.31,56.6,33.0,Central East Iran,2,4.0,3.4,,,,4.0,4.0,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1601
4672,4672,3164,1990,7,7,11,51,32.0,29.19,56.59,33.0,Central East Iran,2,4.1,3.5,,,,4.1,4.1,NEIC,NEIC,M2014,,,,Equation(3),,0.1738,,,10,1601
4673,4673,4901,2001,10,13,17,16,39.0,29.15,56.75,23.1,Central East Iran,2,,,3.5,,,4.0,4.0,IRSC,,,IRSC,,,Equation(6),,0.3389,,,10,1601
4674,4674,8524,2008,12,14,7,29,48.0,29.13,56.62,20.6,Central East Iran,2,4.1,3.6,4.7,4.6,,4.7,4.7,IRSC,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1481,,,10,1601
4675,4675,10199,2011,1,10,10,57,57.0,29.27,56.65,13.9,Central East Iran,2,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,10,1601
4676,4676,15279,2017,1,21,8,23,14.0,29.15,56.61,19.3,Central East Iran,2,4.5,3.7,4.6,,,4.6,4.6,IRSC,ISC,ISC,IRSC,,,Equation(7),,0.1481,,,10,1601
4677,4677,15339,2017,2,12,17,2,26.0,29.17,56.72,18.8,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1601
4678,4678,15346,2017,2,14,6,50,10.0,29.27,56.63,28.0,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1601
4679,4679,15561,2017,5,5,15,53,43.0,29.24,56.63,8.9,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1601
4680,4680,372,1923,9,22,20,47,44.0,29.22,56.84,15.0,Central East Iran,2,,6.7,,,6.7,,6.7,ISC-GEM,,A2001,,,ISC-GEM,,0.23,,,,13,1602
4681,4681,963,1963,11,18,1,42,55.0,29.3,57.0,33.0,Central East Iran,2,5.0,4.8,,,,5.2,5.2,NEIC,NEIC,M2014,,,,Equation(3),,0.1744,,,13,1602
4682,4682,2124,1980,10,1,12,5,37.0,29.15,57.02,18.0,Central East Iran,2,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,13,1602
4683,4683,2567,1984,9,10,21,16,13.0,29.16,57.02,11.0,Central East Iran,2,4.5,4.1,,,,4.6,4.6,ISC,ISC,M2014,,,,Equation(3),,0.1739,,,13,1602
4684,4684,4351,1999,8,31,1,23,7.0,29.34,56.78,,Central East Iran,2,4.1,2.6,,,,4.1,4.1,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,13,1602
4685,4685,4759,2001,5,1,5,25,26.0,29.31,57.04,31.0,Central East Iran,2,,,3.9,,,4.4,4.4,IRSC,,,IRSC,,,Equation(6),,0.3378,,,13,1602
4686,4686,5786,2004,7,13,5,50,1.0,29.2,56.96,10.0,Central East Iran,2,4.0,3.3,3.7,4.0,,4.0,4.0,ISC,ISC,ISC,IRSC,IIEES,,Equation(3),,0.1738,,,13,1602
4687,4687,6656,2006,9,22,17,44,58.0,29.39,56.81,18.8,Central East Iran,2,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,13,1602
4688,4688,9464,2010,3,1,6,8,33.0,29.35,56.92,11.7,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,13,1602
4689,4689,10707,2011,9,19,22,30,56.0,29.21,57.06,15.0,Central East Iran,2,4.3,,4.4,,,4.4,4.4,ISC-EHB,ISC,,IRSC,,,Equation(7),,0.1481,,,13,1602
4690,4690,11592,2012,10,27,20,54,59.0,29.37,56.87,98.0,Central East Iran,2,4.5,,4.3,,,4.3,4.3,IRSC,ISC,,IRSC,,,Equation(7),,0.1481,,,13,1602
4691,4691,15580,2017,5,15,5,43,5.0,29.28,57.08,7.8,Central East Iran,2,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,13,1602
4692,4692,16826,2018,8,23,5,19,2.0,29.4,56.86,90.0,Central East Iran,2,4.6,,4.7,,4.5,,4.5,IRSC,NEIC,,IRSC,,H2019,,,,,,13,1602
4693,4693,3520,1993,6,30,2,14,49.0,29.3,57.1,33.0,Central East Iran,2,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,1603
4694,4694,3853,1996,5,3,7,36,50.0,29.24,57.18,15.0,Central East Iran,2,4.1,3.5,,,,4.1,4.1,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1738,,,10,1603
4695,4695,4978,2001,12,21,17,46,51.0,29.36,57.23,26.2,Central East Iran,2,,,3.5,,,4.0,4.0,IRSC,,,IRSC,,,Equation(6),,0.3389,,,10,1603
4696,4696,7950,2008,4,11,5,43,12.0,29.26,57.1,27.9,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1603
4697,4697,9145,2009,10,7,16,44,35.0,29.22,57.1,10.9,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1603
4698,4698,16224,2018,1,3,18,9,19.0,29.33,57.19,6.0,Central East Iran,2,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,,10,1603
4699,4699,15594,2017,5,20,16,37,26.0,29.19,57.6,8.0,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,10,1604
4700,4700,11540,2012,10,2,23,3,39.0,29.36,57.99,8.0,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1605
4701,4701,11574,2012,10,16,4,23,41.0,29.39,57.89,17.9,Central East Iran,2,,,4.3,,,4.3,4.3,IRSC,,,IRSC,,,Equation(7),,0.1481,,,10,1605
4702,4702,13532,2015,1,28,10,38,34.0,29.3,57.88,9.3,Central East Iran,2,,,3.3,3.4,,3.2,3.2,IRSC,,,IRSC,IIEES,,Equation(7),,0.1495,,,10,1605
4703,4703,14756,2016,6,11,18,33,39.0,29.39,57.86,8.8,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1605
4704,4704,15616,2017,5,31,11,51,21.0,29.28,57.89,8.0,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,10,1605
4705,4705,2213,1981,6,19,19,56,20.0,29.13,58.2,33.0,Central East Iran,2,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,16,1606
4706,4706,5245,2002,9,28,1,6,25.0,29.31,58.19,19.1,Central East Iran,2,,,3.5,,,4.0,4.0,IRSC,,,IRSC,,,Equation(6),,0.3389,,,16,1606
4707,4707,8108,2008,6,23,7,14,50.0,29.27,58.35,10.0,Central East Iran,2,4.0,2.9,4.4,4.0,,4.4,4.4,IRSC,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1481,,,16,1606
4708,4708,9203,2009,11,3,7,48,21.0,29.16,58.29,9.1,Central East Iran,2,4.1,3.5,4.2,3.7,,4.2,4.2,IRSC,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1482,,,16,1606
4709,4709,9335,2010,1,5,18,54,46.0,29.17,58.33,8.8,Central East Iran,2,,,4.2,4.1,,4.2,4.2,IRSC,,,IRSC,IIEES,,Equation(7),,0.1482,,,16,1606
4710,4710,9698,2010,6,4,2,37,32.0,29.28,58.06,9.7,Central East Iran,2,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,,16,1606
4711,4711,10754,2011,10,15,7,43,32.0,29.19,58.1,8.0,Central East Iran,2,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,16,1606
4712,4712,10975,2012,1,13,5,6,41.0,29.2,58.11,13.5,Central East Iran,2,,,3.7,3.5,,3.7,3.7,IRSC,,,IRSC,IIEES,,Equation(7),,0.1487,,,16,1606
4713,4713,11244,2012,5,9,7,23,27.0,29.2,58.32,7.1,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,16,1606
4714,4714,11385,2012,7,25,10,4,16.0,29.12,58.23,9.5,Central East Iran,2,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,,16,1606
4715,4715,12102,2013,5,21,22,56,2.0,29.14,58.27,14.6,Central East Iran,2,,,3.0,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,,16,1606
4716,4716,12533,2013,12,5,11,28,52.0,29.18,58.27,10.0,Central East Iran,2,,,3.5,3.4,,3.4,3.4,IRSC,,,IRSC,IIEES,,Equation(7),,0.1491,,,16,1606
4717,4717,13472,2015,1,1,1,42,3.0,29.2,58.35,7.8,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,16,1606
4718,4718,15703,2017,7,1,9,2,4.0,29.12,58.33,8.0,Central East Iran,2,,,3.6,,,3.6,3.6,IRSC,,,IRSC,,,Equation(7),,0.1489,,,16,1606
4719,4719,16268,2018,1,18,15,52,6.0,29.18,58.34,8.0,Central East Iran,2,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,,16,1606
4720,4720,16292,2018,1,30,15,11,48.0,29.16,58.33,8.0,Central East Iran,2,,,3.6,,,3.6,3.6,IRSC,,,IRSC,,,Equation(7),,0.1489,,,16,1606
4721,4721,6201,2006,1,27,19,54,25.0,29.27,58.42,10.0,Central East Iran,2,,,3.8,,,3.8,3.8,IRSC,,,IRSC,,,Equation(7),,0.1486,,,21,1607
4722,4722,6217,2006,2,6,19,58,22.0,29.16,58.42,28.7,Central East Iran,2,3.6,2.8,3.6,4.1,,3.6,3.6,IRSC,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1489,,,21,1607
4723,4723,6219,2006,2,6,23,31,56.0,29.26,58.41,10.0,Central East Iran,2,,,4.3,,3.8,,3.8,IRSC,,,IRSC,,BHRC,,,,,,21,1607
4724,4724,6220,2006,2,6,23,31,57.0,29.12,58.36,10.0,Central East Iran,2,4.1,3.1,4.4,4.2,,4.4,4.4,ISC-EHB,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1481,,,21,1607
4725,4725,6505,2006,6,29,9,24,37.0,29.25,58.47,11.0,Central East Iran,2,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,,21,1607
4726,4726,6515,2006,7,8,21,0,54.0,29.13,58.44,10.0,Central East Iran,2,4.4,3.9,,,,4.5,4.5,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1738,,,21,1607
4727,4727,6516,2006,7,8,21,1,0.0,29.26,58.48,15.4,Central East Iran,2,,,4.5,4.4,,4.5,4.5,IRSC,,,IRSC,IIEES,,Equation(7),,0.1481,,,21,1607
4728,4728,7177,2007,5,9,10,46,40.0,29.3,58.42,16.8,Central East Iran,2,,,4.0,,,4.0,4.0,IRSC,,,IRSC,,,Equation(7),,0.1483,,,21,1607
4729,4729,7237,2007,6,5,1,27,34.0,29.25,58.36,16.5,Central East Iran,2,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,,21,1607
4730,4730,7238,2007,6,5,13,21,18.0,29.2,58.57,1.8,Central East Iran,2,,,3.1,,,3.0,3.0,IRSC,,,IRSC,,,Equation(7),,0.15,,,21,1607
4731,4731,7338,2007,7,11,18,32,48.0,29.17,58.63,0.6,Central East Iran,2,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,21,1607
4732,4732,7728,2007,12,25,15,34,52.0,29.2,58.5,13.2,Central East Iran,2,,,4.2,4.0,,4.2,4.2,IRSC,,,IRSC,IIEES,,Equation(7),,0.1482,,,21,1607
4733,4733,8032,2008,5,24,5,21,38.0,29.16,58.4,12.9,Central East Iran,2,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,,21,1607
4734,4734,8099,2008,6,18,18,13,44.0,29.21,58.36,2.3,Central East Iran,2,,,3.6,,,3.6,3.6,IRSC,,,IRSC,,,Equation(7),,0.1489,,,21,1607
4735,4735,9360,2010,1,19,4,32,27.0,29.37,58.57,10.0,Central East Iran,2,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,,21,1607
4736,4736,9560,2010,4,10,23,49,58.0,29.19,58.56,1.2,Central East Iran,2,3.4,3.7,,,,4.4,4.4,IRSC,ISC,ISC,,,,Equation(5),,0.2587,,,21,1607
