,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References
9326,5965,2005,4,7,19,13,30,33.02,46.48,47,Zagros,5,3.6,3.8,,,,3.5,3.5,ISC,ISC,ISC,,,,Equation(3),,0.174,,
9327,6383,2006,4,27,16,18,50,33.16,46.53,7.9,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9328,7064,2007,3,28,3,58,12,32.96,46.38,17,Zagros,5,4,3.3,4,3.9,,4,4,ISC-EHB,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1483,,
9329,7780,2008,1,19,22,13,52,33.16,46.41,9.5,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9330,8933,2009,6,25,15,4,54,33.1,46.34,8,Zagros,5,4.3,3.5,4.4,4.5,,4.4,4.4,IRSC,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1481,,
9331,9076,2009,8,30,14,4,37,33.06,46.4,15,Zagros,5,4.6,4.1,4.6,4.5,,4.6,4.6,ISC-EHB,ISC,ISC,IRSC,IIEES,,Equation(7),,0.1481,,
9332,9173,2009,10,23,2,53,58,33.07,46.34,1,Zagros,5,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,
9333,9721,2010,6,9,4,56,14,32.92,46.36,5.2,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
9334,10464,2011,5,22,23,20,39,33.08,46.38,13.5,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
9335,10601,2011,7,28,15,35,28,32.99,46.62,8.5,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
9336,11545,2012,10,5,8,41,41,33.16,46.44,17.3,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9337,11729,2012,12,25,21,50,15,33.17,46.36,10,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
9338,12135,2013,6,6,6,53,19,32.9,46.32,27.8,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
9339,12473,2013,11,8,18,21,38,32.93,46.34,15.3,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9340,12592,2013,12,29,23,4,34,33,46.55,9.1,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9341,13312,2014,10,24,18,38,28,33.05,46.62,12.5,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
9342,13651,2015,3,21,21,15,29,33,46.62,14.1,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
9343,14666,2016,5,7,10,16,4,33.09,46.44,21,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9344,14676,2016,5,11,1,11,54,33.04,46.4,8.3,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
9345,14905,2016,8,7,0,40,6,32.96,46.56,8.8,Zagros,5,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,
9346,16095,2017,11,20,15,23,42.7,32.9,46.32,19.5,Zagros,5,5.1,5.1,5.3,,5,,5,IRSC,NEIC,NEIC,IRSC,,GCMT,,0.1,,,
9347,16706,2018,6,28,20,26,23,32.91,46.57,14.9,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
9348,16753,2018,7,19,22,24,14,33.08,46.57,11.8,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9349,4723,2001,3,23,5,24,11.9,32.98,46.64,13,Zagros,5,5.1,5,4.6,,5.4,,5.4,ISC-EHB,NEIC,NEIC,IRSC,,GCMT,,0.1,,,
